"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 13:37:20,0,8,658.00,0.00,4,0,0,0
8791,2012/6/13 13:37:40,0,8,617.00,0.00,12,1,0,0
8791,2012/6/13 13:38:00,0,8,658.00,0.00,8,0,2,0
8791,2012/6/13 13:38:20,0,8,652.00,0.00,11,0,0,0
8791,2012/6/13 13:38:40,0,8,644.00,0.00,9,2,0,0
8791,2012/6/13 13:39:00,0,8,623.00,0.00,11,0,0,0
8791,2012/6/13 13:39:20,0,8,638.00,0.00,5,0,0,0
8791,2012/6/13 13:39:40,0,8,631.00,0.00,7,2,1,1
8791,2012/6/13 13:40:00,0,8,646.00,0.00,14,1,0,0
8791,2012/6/13 13:40:20,0,8,627.00,0.00,3,1,0,0
8791,2012/6/13 13:40:40,0,8,626.00,0.00,11,2,0,0
8791,2012/6/13 13:41:00,0,8,712.00,0.00,4,1,0,0
8791,2012/6/13 13:41:20,0,8,672.00,0.00,10,1,0,0
8791,2012/6/13 13:41:40,0,8,698.00,0.00,5,3,0,0
8791,2012/6/13 13:42:00,0,8,684.00,0.00,4,0,0,0
8791,2012/6/13 13:42:20,0,8,619.00,0.00,11,2,0,0
8791,2012/6/13 13:42:40,0,8,665.00,0.00,12,3,0,0
8791,2012/6/13 13:43:00,0,8,689.00,0.00,7,0,0,0
8791,2012/6/13 13:43:20,0,8,688.00,0.00,9,2,0,0
8791,2012/6/13 13:43:40,0,8,683.00,0.00,10,0,0,0
8791,2012/6/13 13:44:00,0,8,717.00,0.00,6,2,0,0
8791,2012/6/13 13:44:20,0,8,665.00,0.00,7,0,0,0
8791,2012/6/13 13:44:40,0,8,670.00,0.00,12,0,0,0
8791,2012/6/13 13:45:00,0,8,663.00,0.00,6,3,0,0
8791,2012/6/13 13:45:20,0,8,712.00,0.00,3,2,0,0
8791,2012/6/13 13:45:40,0,8,648.00,0.00,7,2,0,0
8791,2012/6/13 13:46:00,0,8,663.00,0.00,6,2,0,0
8791,2012/6/13 13:46:20,0,8,654.00,0.00,7,0,0,0
8791,2012/6/13 13:46:40,0,8,671.00,0.00,15,1,0,0
8791,2012/6/13 13:47:00,0,8,678.00,0.00,9,1,1,0
8791,2012/6/13 13:47:20,0,8,626.00,0.00,4,0,0,0
8791,2012/6/13 13:47:40,0,8,716.00,0.00,4,2,0,0
8791,2012/6/13 13:48:00,0,8,672.00,0.00,8,0,0,0
8791,2012/6/13 13:48:20,0,8,657.00,0.00,9,3,0,0
8791,2012/6/13 13:48:40,0,8,706.00,0.00,6,0,0,0
8791,2012/6/13 13:49:00,0,8,649.00,0.00,5,1,0,0
8791,2012/6/13 13:49:20,0,8,637.00,0.00,12,3,0,0
8791,2012/6/13 13:49:40,0,8,676.00,0.00,7,1,0,0
8791,2012/6/13 13:50:00,0,8,685.00,0.00,7,1,0,0
8791,2012/6/13 13:50:20,0,8,680.00,0.00,7,1,0,0
8791,2012/6/13 13:50:40,0,8,694.00,0.00,3,0,0,0
8791,2012/6/13 13:51:00,0,8,680.00,0.00,6,1,0,0
8791,2012/6/13 13:51:20,0,8,685.00,0.00,7,1,0,0
8791,2012/6/13 13:51:40,0,8,678.00,0.00,7,1,0,0
8791,2012/6/13 13:52:00,0,8,648.00,0.00,7,2,0,0
8791,2012/6/13 13:52:20,0,8,593.00,0.00,6,0,0,0
8791,2012/6/13 13:52:40,0,8,691.00,0.00,5,4,0,0
8791,2012/6/13 13:53:00,0,8,661.00,0.00,12,0,0,0
8791,2012/6/13 13:53:20,0,8,654.00,0.00,8,5,0,0
8791,2012/6/13 13:53:40,0,8,647.00,0.00,6,1,0,0
8791,2012/6/13 13:54:00,0,8,669.00,0.00,8,0,0,0
8791,2012/6/13 13:54:20,0,8,685.00,0.00,9,3,0,0
8791,2012/6/13 13:54:40,0,8,657.00,0.00,12,2,1,0
8791,2012/6/13 13:55:00,0,8,662.00,0.00,9,4,0,0
8791,2012/6/13 13:55:20,0,8,645.00,0.00,2,0,1,0
8791,2012/6/13 13:55:40,0,8,632.00,0.00,8,1,0,0
8791,2012/6/13 13:56:00,0,8,630.00,0.00,13,1,0,1
8791,2012/6/13 13:56:20,0,8,679.00,0.00,8,0,0,0
8791,2012/6/13 13:56:40,0,8,662.00,0.00,12,1,0,0
8791,2012/6/13 13:57:00,0,8,676.00,0.00,7,0,0,0
8791,2012/6/13 13:57:20,0,8,682.00,0.00,6,3,0,0
8791,2012/6/13 13:57:40,0,8,665.00,0.00,10,0,0,1
8791,2012/6/13 13:58:00,0,8,702.00,0.00,7,0,0,1
8791,2012/6/13 13:58:20,0,8,704.00,0.00,7,1,0,0
8791,2012/6/13 13:58:40,0,8,652.00,0.00,6,3,1,0
8791,2012/6/13 13:59:00,0,8,612.00,0.00,8,1,0,0
8791,2012/6/13 13:59:20,0,8,637.00,0.00,6,4,0,0
8791,2012/6/13 13:59:40,0,8,686.00,0.00,8,1,0,0
8791,2012/6/13 14:00:00,0,8,653.00,0.00,11,3,0,0
8791,2012/6/13 14:00:20,0,8,651.00,0.00,6,2,0,0
8791,2012/6/13 14:00:40,0,8,679.00,0.00,7,1,0,0
8791,2012/6/13 14:01:00,0,8,675.00,0.00,9,0,0,0
8791,2012/6/13 14:01:20,0,8,617.00,0.00,13,1,0,1
8791,2012/6/13 14:01:40,0,8,704.00,0.00,4,4,0,0
8791,2012/6/13 14:02:00,0,8,653.00,0.00,4,2,0,0
8791,2012/6/13 14:02:20,0,8,659.00,0.00,7,4,0,0
8791,2012/6/13 14:02:40,0,8,632.00,0.00,7,2,0,0
8791,2012/6/13 14:03:00,0,8,662.00,0.00,3,1,0,0
8791,2012/6/13 14:03:20,0,8,664.00,0.00,12,1,0,0
8791,2012/6/13 14:03:40,0,8,690.00,0.00,7,1,0,0
